case_id,method,mode,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,abs_edema_volume_error,edema_fp,edema_fn,enhancing_volume_change,necrosis_volume_change,wt_volume_change,n_edited_voxels,mean_abs_gate,perturbation_rms,cosine_d_learned_d_initial,scale,runtime_s,tuned_alpha_probe,tuned_alpha_output,tuned_logit_bias
BraTS2021_01245,A_baseline,baseline,0.6960614907944372,0.7912905382815985,0.5486354093778185,0.4822368421069663,0.5756445807597407,1573,1764,3337,0.0,0.0,0.0,0,0.0,0.0,0.9990473985671997,0.6630221009254456,1.1527346658986062,0.5,-0.5,0.5
BraTS2021_01245,B_global_probe,global_probe,0.6888320545611443,0.7910964689982298,0.541218637993464,0.47884552312404444,0.5696320718928842,1934,1588,3522,11.53662109375,99.670654296875,-321.603515625,0,0.0,0.16589240729808807,0.9990473985671997,0.6630221009254456,1.169217374874279,0.5,-0.5,0.5
BraTS2021_01245,C_global_output,global_output,0.6853164718658202,0.7857883583571009,0.5384851272622838,0.4966204197812287,0.5734740063031109,2699,1114,3813,-269.6683349609375,-417.059326171875,-2032.126953125,0,0.0,0.9489872455596924,0.9990473985671997,0.6630221009254456,1.1333450418896973,0.5,-0.5,0.5
BraTS2021_01245,D_logit_bias,logit_bias,0.7032536711778271,0.7911843460351015,0.5638205499282724,0.4959294436923476,0.587667888266149,991,2081,3072,-87.94091796875,-123.435302734375,409.146484375,0,0.0,0.25,0.9990473985671997,0.6630221009254456,1.1494781249202788,0.5,-0.5,0.5
BraTS2021_01245,F_proposed,proposed,0.6944444444446314,0.7908572408766281,0.5554121863805657,0.4873779872114191,0.5790782060122054,2012,1491,3503,-67.7490234375,-86.152587890625,-706.197265625,27209,0.13018955290317535,0.09517505764961243,0.9990473985671997,0.6630221009254456,1.0466407500207424,0.5,-0.5,0.5
BraTS2021_01245,E_random_00,random_gated,0.6967665381194323,0.7914585414586283,0.5476356535087912,0.4839669421504662,0.5761230445928965,1501,1805,3306,-13.8857421875,38.969482421875,102.419921875,27209,0.13018955290317535,0.026695268228650093,0.9990473985671997,0.6630221009254456,2.2284233749378473,0.5,-0.5,0.5
BraTS2021_01245,E_random_01,random_gated,0.6995690418562491,0.7916059457884866,0.5524159367059164,0.48652246256410475,0.5795024803754234,1417,1836,3253,-37.22900390625,-20.956787109375,95.498046875,27209,0.13018955290317535,0.017171615734696388,0.9990473985671997,0.6630221009254456,2.2974306670948863,0.5,-0.5,0.5
BraTS2021_01245,E_random_02,random_gated,0.6966211787142026,0.7911334169804303,0.5493056529673876,0.48239552484540177,0.576107452175664,1575,1758,3333,-1.18505859375,-12.604248046875,-20.6572265625,27209,0.13018955290317535,0.007656185422092676,0.9990473985671997,0.6630221009254456,2.2193251671269536,0.5,-0.5,0.5
BraTS2021_01245,E_random_03,random_gated,0.6937862669247499,0.7904773986215948,0.5497536945819145,0.4837425348391382,0.5757608321152675,1812,1627,3439,-20.1484375,-20.274169921875,-320.201171875,27209,0.13018955290317535,0.03792363405227661,0.9990473985671997,0.6630221009254456,2.252151541179046,0.5,-0.5,0.5
BraTS2021_01245,E_random_04,random_gated,0.6952563488262486,0.7911442827792398,0.5477422060680166,0.47926869082768764,0.5740890819073177,1660,1714,3374,20.209228515625,-12.801513671875,-97.267578125,27209,0.13018955290317535,0.018269600346684456,0.9990473985671997,0.6630221009254456,2.199950249865651,0.5,-0.5,0.5
