case_id,alpha,perturbation_rms,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,hard_edema_voxels,soft_edema,soft_enhancing,soft_necrosis,soft_wt
BraTS2021_01245,8,1.4142135381698608,0.33808664259987536,0.6674971452301114,0.4781333984858562,0.4857142857161224,0.43397810893395133,1902,1938.6787109375,1989.0958251953125,4101.4990234375,8029.2734375
BraTS2021_01245,12,2.1213202476501465,0.007381676075762719,0.5377260684255629,0.46797546012335217,0.517001229006485,0.3307861217352,34,282.89263916015625,1641.411376953125,4474.69970703125,6399.00341796875
BraTS2021_01245,16,2.8284270763397217,1.0895619960763895e-12,0.5201830556210278,0.47037884566556015,0.5415297982189511,0.3373028812952003,0,14.869222640991211,1314.271728515625,4539.1005859375,5868.2412109375
BraTS2021_00539,-16,2.8284270763397217,0.0248820378537311,0.04828616500037985,0.15291656983598312,0.27481243301334446,0.15087034690101955,653212,625173.75,869.87841796875,10.347234725952148,626054.0
BraTS2021_00539,-12,2.1213202476501465,0.061115587854156585,0.1160631649938257,0.3212588446516831,0.5243703569495843,0.302248263151808,261064,335517.0,1847.9283447265625,176.20361328125,337541.125
BraTS2021_00539,-8,1.4142135381698608,0.6820011993490611,0.8989720159908913,0.6383416138430372,0.7157575757580065,0.6787001296500349,15117,46108.36328125,2735.0927734375,1241.7816162109375,50085.2421875
BraTS2021_00539,-6,1.0606601238250732,0.7986419430661799,0.9385029218069015,0.7955750871345693,0.7647557187238566,0.7863242496415351,10916,18556.578125,3072.7509765625,2068.677001953125,23698.005859375
BraTS2021_00539,-4,0.7071067690849304,0.8602555797657027,0.9343145096784725,0.8860865910047035,0.7887017925043608,0.8450146544249223,8752,10747.423828125,3276.23583984375,2751.672119140625,16775.330078125
BraTS2021_00539,-3,0.5303300619125366,0.8742846594056524,0.9268387725280316,0.9058030803080955,0.7921727395414411,0.8574201597517298,8022,9135.888671875,3316.1826171875,2994.17236328125,15446.244140625
BraTS2021_00539,-2,0.3535533845424652,0.8813623943573227,0.9202183635885556,0.9147297389408257,0.7925855770534534,0.8628925701172006,7508,8130.9287109375,3319.801513671875,3171.9697265625,14622.69921875
BraTS2021_00539,-1,0.1767766922712326,0.8775430359938201,0.9125774019575495,0.9163379132091442,0.7904697072841519,0.8614502188290388,7107,7452.59130859375,3295.08056640625,3297.272216796875,14044.9453125
BraTS2021_00539,0,0.0,0.8698721363879396,0.9045631982770546,0.9157823129252274,0.7886590877964818,0.8581045123698829,6787,6951.4931640625,3250.098876953125,3385.231201171875,13586.822265625
BraTS2021_00539,1,0.1767766922712326,0.8570845242957281,0.8952419848887431,0.9139433551198843,0.7864518793889764,0.8524932529348629,6465,6542.1845703125,3191.258056640625,3450.056884765625,13183.4990234375
BraTS2021_00539,2,0.3535533845424652,0.842842287695083,0.8849752339020759,0.9107667099065264,0.7810979847119095,0.8449023274378397,6196,6171.0458984375,3122.854248046875,3503.1201171875,12797.0205078125
BraTS2021_00539,3,0.5303300619125366,0.8241369552915788,0.8733913043478702,0.9070754071438982,0.775407074677463,0.83553981237098,5907,5798.54541015625,3047.439208984375,3553.001708984375,12398.986328125
BraTS2021_00539,4,0.7071067690849304,0.8009262609452197,0.8596590108497042,0.9026014139612173,0.7679863771821087,0.8238380173628487,5590,5388.5595703125,2966.425537109375,3606.77880859375,11961.763671875
BraTS2021_00539,6,1.0606601238250732,0.7379056950400047,0.825109828268589,0.8926030803233009,0.7530164268065809,0.7945084007232955,4835,4301.8798828125,2790.388671875,3753.643798828125,10845.9130859375
BraTS2021_00539,8,1.4142135381698608,0.5629965947790422,0.7503283120897063,0.8774676179262468,0.7331045800391868,0.7245229309148252,3224,2716.93310546875,2597.21142578125,3976.9970703125,9291.142578125
BraTS2021_00539,12,2.1213202476501465,1.2152144853551885e-12,0.5594835262691187,0.83985665097334,0.6734531573092517,0.504436602761269,0,322.2259216308594,2161.309326171875,4297.091796875,6780.626953125
BraTS2021_00539,16,2.8284270763397217,1.2152144853551885e-12,0.5215007083126073,0.7971290464334282,0.573117718658367,0.4567489216976702,0,15.124946594238281,1693.993896484375,4307.0966796875,6016.2158203125
BraTS2021_01180,-16,2.8284270763397217,0.03811602501049654,0.049339842934579006,0.5567260940041395,0.5567260940041395,0.38385607100625857,601340,572268.625,1335.757568359375,1.4154794216156006,573605.75
BraTS2021_01180,-12,2.1213202476501465,0.10674720283903306,0.1359941203359683,0.7278571428576288,0.7278571428576288,0.5208204961847636,205859,295535.75,2152.9892578125,20.08588409423828,297708.8125
